Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,8,0.01,0.9099999999999999,0.6156577870989544
100% Corpus,8,0.01,symmetric,0.6527408847944849
100% Corpus,8,0.31,0.01,0.6602612171891813
100% Corpus,8,0.31,0.31,0.6425047565650297
100% Corpus,8,0.31,0.61,0.6330019540734093
100% Corpus,8,0.31,0.9099999999999999,0.600013555028502
100% Corpus,8,0.31,symmetric,0.6498241456573978
100% Corpus,8,0.61,0.01,0.6695543512681879
100% Corpus,8,0.61,0.31,0.6508956310539957
100% Corpus,8,0.61,0.61,0.6450224680287839
100% Corpus,8,0.61,0.9099999999999999,0.6243878761101885
100% Corpus,8,0.61,symmetric,0.6634710930682117
100% Corpus,8,0.9099999999999999,0.01,0.6314021594954261
100% Corpus,8,0.9099999999999999,0.31,0.6320256163863571
100% Corpus,8,0.9099999999999999,0.61,0.6212463131485304
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.6111930304846258
100% Corpus,8,0.9099999999999999,symmetric,0.6562233240548002
100% Corpus,8,symmetric,0.01,0.6676715278448059
100% Corpus,8,symmetric,0.31,0.6530565665599364
100% Corpus,8,symmetric,0.61,0.6274268282148019
100% Corpus,8,symmetric,0.9099999999999999,0.5850943047678091
100% Corpus,8,symmetric,symmetric,0.6554550313617236
100% Corpus,8,asymmetric,0.01,0.6859550362181601
100% Corpus,8,asymmetric,0.31,0.6684295604270739
100% Corpus,8,asymmetric,0.61,0.6095661991593979
100% Corpus,8,asymmetric,0.9099999999999999,0.6527769729938466
100% Corpus,8,asymmetric,symmetric,0.6462032008163627
100% Corpus,9,0.01,0.01,0.6719724610582332
100% Corpus,9,0.01,0.31,0.6466368854204729
100% Corpus,9,0.01,0.61,0.6305901795556426
100% Corpus,9,0.01,0.9099999999999999,0.5765097848781537
100% Corpus,9,0.01,symmetric,0.6725293571993127
100% Corpus,9,0.31,0.01,0.6698494046276042
